address,city,country,name,postal_code,state,row_index,success,message,evidence_count
"Building 3 Room 11c, No. 31 Zizhu Yuan Road",Beijing,CN,Beijing Zing Found Network Co.ltd,100089,BEIJING,0,False,Error: OPENAI_API_KEY not set.,
3/f Plaza Chambers,Springwood,AU,Engineered Services (australia) Pty. Limited,4127,QLD,1,False,Error: OPENAI_API_KEY not set.,
Shàngbùzhōnglù,Shēnzhènshì,CN,No.6 Mechanical Design & Research Institute,518027,GUǍNGDŌNGSHĚNG,2,False,Error: OPENAI_API_KEY not set.,
"6/F., PARAMOUNT BUILDING, 12 KA YIP STREET",HONG KONG,CN,Bas Engineering Limited,-,HONG KONG,3,False,Error: OPENAI_API_KEY not set.,
"工行北京长安分理处, .",BEIJING,CN,北京华力豪顺科技公司,.,CHINA,4,False,Error: OPENAI_API_KEY not set.,
"中国工商银行北京经济技术开发区, 支行营业室",BEIJING,CN,施耐德电气中国投资有限公司,.,CHINA,5,False,Error: OPENAI_API_KEY not set.,
"中行金山支行石化分理处, .",SHANGHAI,CN,中国金山联合贸易有限责任公司,.,CHINA,6,False,Error: OPENAI_API_KEY not set.,
"深圳市招商银行总行营业部, .",SHENZHEN,CN,能殷自动化贸易(深圳)有限公司,.,CHINA,7,False,Error: OPENAI_API_KEY not set.,
"天津商业银行协通支行, .",TIANJIN,CN,天津市开发区泰达大厦房地产开发有限公司泰达俱乐部,.,CHINA,8,False,Error: OPENAI_API_KEY not set.,
1155 Connecticut Ave Nw,Washington,US,"Pacific Bridge, Inc.",20036,DC,9,False,Error: OPENAI_API_KEY not set.,
"Rm 906, # 2 Building",Zhong Shan Bei Yi Road,CN,Shanghai North-power Electromechanical Instrument Complete Set Co Ltd,200437,SHANGHAI,10,False,Error: OPENAI_API_KEY not set.,
"Office Tower,new Century Hotel F/5, No. 6 Nanwei Road Nan Alley",Beijing,CN,Dec Prc Limited Beijing Service Station,100050,BEIJING,11,False,Error: OPENAI_API_KEY not set.,
分行西便门分理处,交行北京市,CN,北京纳威尔格质量咨询有限公司,100031,北京市,12,False,Error: OPENAI_API_KEY not set.,
"2/F CONCORD COMMERCIAL BUILDING, 157 KING'S ROAD,",HONG KONG,CN,Beria Consultants Ltd,-,HONG KONG,13,False,Error: OPENAI_API_KEY not set.,
"SUTE 1900,TUNG WAH MANSION, 199-203 HENNESSY ROAD",HONG KONG,CN,Growinet Ltd,-,HONG KONG,14,False,Error: OPENAI_API_KEY not set.,
